,Expected Energy of Entire Decay (keV/atom of parent isotope),Isotope
153Er,1794.6780091519647,153Er
153Ho,504.20267620992473,153Ho
153La,8014.77,153La
153Nd,2039.77,153Nd
153Pm,886.47,153Pm
153Pr,3739.77,153Pr
153Sm,223.87,153Sm
153Tb,0.2,153Tb
153Tm,5163.407510848777,153Tm
153Yb,6301.153901524898,153Yb
154Ba,10019.11,154Ba
154Ce,5166.58,154Ce
154Dy,8056.0,154Dy
154Er,8966.420264169503,154Er
154Eu,171.9790382,154Eu
154Hf,0.0,154Hf
154Ho,8972.635048023318,154Ho
154La,7781.58,154La
154Nd,1705.3000000000002,154Nd
154Pm,849.1,154Pm
154Pr,3472.58,154Pr
154Tb,31.476000000000003,154Tb
154Tm,8630.578366374293,154Tm
154Yb,10894.632121957904,154Yb
155Ce,6827.81,155Ce
155Dy,5.47,155Dy
155Er,5.477866178304005,155Er
155Eu,32.65,155Eu
155Ho,5.47,155Ho
155La,9644.81,155La
155Lu,3166.2137673016896,155Lu
155Nd,2741.81,155Nd
155Pm,1657.21,155Pm
155Pr,4812.81,155Pr
155Sm,585.2099999999999,155Sm
155Ta,0.0,155Ta
155Tm,9.614095081868411,155Tm
155Yb,5296.289391619422,155Yb
156Ce,6065.9,156Ce
156Er,0.0010468439996771,156Er
156Eu,428.88,156Eu
156Hf,15729.55136104793,156Hf
156Ho,0.0,156Ho
156La,9101.9,156La
156Lu,13196.189261142588,156Lu
156Nd,1798.9,156Nd
156Pm,1798.9,156Pm
156Pr,3947.9,156Pr
156Sm,593.0,156Sm
156Ta,4561.5698947039,156Ta
156Tb,0.0,156Tb
156Tm,4.204696484726274,156Tm
156Yb,1077.759362941047,156Yb
157Ce,9241.49,157Ce
157Dy,0.00314,157Dy
157Er,139.08314,157Er
157Eu,376.79,157Eu
157Hf,10986.996267433406,157Hf
157Ho,29.52314,157Ho
157Lu,0.0,157Lu
157Nd,4423.49,157Nd
157Pm,2755.49,157Pm
157Pr,6810.49,157Pr
157Sm,1215.69,157Sm
157Ta,6242.91806627563,157Ta
157Tm,139.08314,157Tm
157Yb,147.4737143457598,157Yb
158Ce,9653.8,158Ce
158Eu,823.7,158Eu
158Hf,6787.249277856454,158Hf
158Ho,0.0,158Ho
158Lu,1664.433191793721,158Lu
158Nd,4493.8,158Nd
158Pm,2904.8,158Pm
158Pr,7045.799999999999,158Pr
158Sm,1335.8000000000002,158Sm
158Ta,610.852435007081,158Ta
158Tb,7.413559999999999,158Tb
158Tm,1599.85,158Tm
158W,6445.0,158W
158Yb,1600.0688966189475,158Yb
159Er,28.862,159Er
159Eu,1170.36,159Eu
